Road_Type,Road_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,T_Junction,Crossing,Stop_Signal,Railway_Crossing,Speed_Breaker,Severity
Expressway,Dry Road,107,99,Bus,23,53,81,1,1,0,0,0,Low
Service Roads,Damaged Road,63,43,Car,24,61,36,0,0,0,0,0,Medium
Urban Roads,Damaged Road,33,41,Car,26,58,64,0,0,0,0,1,Medium
Service Roads,Damaged Road,52,48,Bus,29,88,76,1,1,0,0,0,High
National Highway,Dry Road,51,88,Bike,32,81,54,0,0,0,0,0,Low
Rural Roads,Dry Road,60,63,Car,39,36,100,1,0,0,0,1,Medium
Expressway,Dry Road,87,107,Car,43,64,48,1,0,0,0,0,Medium
Rural Roads,Wet Road,56,53,Car,32,20,54,1,1,1,0,1,High
Expressway,Dry Road,49,94,Bus,45,26,94,0,0,0,0,1,Low
Expressway,Dry Road,53,92,Bus,35,73,87,0,1,0,0,1,Low
National Highway,Damaged Road,56,77,Bus,15,45,87,0,1,1,0,0,Medium
Expressway,Wet Road,103,111,Car,38,30,85,0,1,0,0,1,Medium
State Highway,Dry Road,90,69,Bike,25,63,55,0,1,1,0,0,Medium
State Highway,Dry Road,91,89,Bike,38,50,55,0,1,0,1,0,High
Rural Roads,Dry Road,60,57,Bike,34,49,55,0,1,0,0,0,Medium
Urban Roads,Wet Road,59,42,Bike,45,58,62,0,0,1,0,0,Low
Urban Roads,Damaged Road,28,47,Bike,20,74,81,0,0,1,0,1,Medium
Service Roads,Damaged Road,30,37,Car,24,75,83,0,0,0,0,0,Medium
State Highway,Damaged Road,59,63,Bike,45,74,69,0,0,0,0,0,Medium
Expressway,Wet Road,104,103,Truck,22,53,77,0,0,1,0,1,Medium
Service Roads,Dry Road,56,48,Car,35,74,65,0,0,1,0,0,Medium
Rural Roads,Dry Road,48,55,Car,23,75,93,1,1,1,0,1,Medium
National Highway,Dry Road,68,89,Car,17,70,93,0,0,0,0,0,Medium
National Highway,Wet Road,99,85,Truck,40,61,67,0,0,0,0,0,Medium
Rural Roads,Dry Road,66,40,Car,14,61,70,1,0,0,0,0,Medium
Service Roads,Dry Road,20,31,Bike,31,41,73,0,0,0,0,0,Low
Rural Roads,Dry Road,41,45,Bike,34,70,77,0,0,0,0,0,Low
Service Roads,Dry Road,41,33,Car,28,77,55,0,0,1,0,0,Medium
Service Roads,Wet Road,20,29,Car,27,91,43,0,0,0,0,0,Low
National Highway,Dry Road,68,87,Bike,31,74,71,1,1,0,0,0,Low
Service Roads,Dry Road,25,29,Bike,44,71,99,1,0,0,0,0,Low
State Highway,Damaged Road,85,76,Bike,43,53,57,1,0,0,0,0,Medium
Expressway,Dry Road,124,114,Bike,23,54,77,0,0,1,0,1,Medium
National Highway,Dry Road,92,100,Bus,13,92,90,1,1,0,0,0,Medium
National Highway,Dry Road,98,95,Bike,32,40,78,0,1,1,0,0,Medium
Urban Roads,Dry Road,29,40,Car,13,55,73,1,1,0,0,0,Low
National Highway,Wet Road,66,90,Car,29,100,100,0,0,1,0,0,Low
Urban Roads,Dry Road,67,60,Car,28,50,98,0,0,1,0,0,Low
Rural Roads,Damaged Road,57,52,Bike,24,27,60,1,0,0,0,0,High
State Highway,Damaged Road,66,84,Bike,31,58,66,0,0,0,0,0,Medium
State Highway,Dry Road,74,90,Car,31,87,86,0,0,0,0,0,Medium
Expressway,Dry Road,108,117,Bike,34,54,34,0,0,0,0,0,Medium
Urban Roads,Wet Road,26,40,Car,11,72,57,0,1,0,0,1,Medium
Urban Roads,Dry Road,20,32,Bike,34,50,87,0,0,1,0,0,Low
Rural Roads,Damaged Road,35,43,Bike,31,79,74,0,1,0,0,1,Low
State Highway,Dry Road,62,70,Car,39,93,78,1,0,1,0,0,Low
State Highway,Wet Road,49,73,Bike,20,84,100,0,1,0,0,0,Medium
Expressway,Wet Road,85,117,Car,29,56,62,1,0,1,0,0,Medium
Expressway,Wet Road,85,96,Bus,26,64,97,0,0,0,0,0,Medium
State Highway,Dry Road,76,85,Bike,25,48,91,0,0,0,0,0,Low
National Highway,Dry Road,97,92,Car,22,77,76,0,0,0,0,0,Low
National Highway,Damaged Road,80,92,Truck,31,79,85,1,0,0,0,0,Medium
Expressway,Wet Road,123,118,Car,38,59,47,0,1,0,0,0,Medium
Expressway,Dry Road,75,96,Truck,23,68,88,0,0,0,0,0,Low
Rural Roads,Dry Road,39,50,Bike,32,60,10,0,0,0,0,0,Low
Urban Roads,Wet Road,38,39,Car,32,74,54,0,0,0,0,1,Medium
Expressway,Dry Road,94,99,Car,34,76,74,0,0,1,0,0,Low
Urban Roads,Wet Road,31,42,Bike,41,50,83,1,1,0,0,1,High
Service Roads,Dry Road,24,30,Bus,13,95,55,0,0,0,0,0,Low
Urban Roads,Wet Road,62,36,Bike,30,82,74,0,0,0,0,0,Low
Rural Roads,Dry Road,46,61,Car,34,76,73,0,0,0,0,1,Low
Rural Roads,Dry Road,54,41,Car,34,46,92,1,0,0,0,1,Low
National Highway,Wet Road,68,74,Car,45,85,63,1,0,0,0,0,High
Rural Roads,Dry Road,65,68,Bike,40,60,55,0,1,0,0,0,Medium
Service Roads,Dry Road,57,43,Bike,29,62,72,0,0,0,0,0,Medium
Service Roads,Dry Road,25,24,Car,12,69,54,1,1,0,0,0,Low
State Highway,Dry Road,50,61,Bike,37,27,73,0,1,0,0,0,Low
National Highway,Dry Road,93,70,Car,16,46,54,1,0,0,1,0,Medium
National Highway,Dry Road,91,89,Truck,36,76,31,0,0,0,0,0,High
Expressway,Wet Road,122,120,Car,39,32,49,1,1,0,1,0,High
State Highway,Dry Road,83,81,Bus,24,71,81,1,0,0,0,0,Medium
Expressway,Damaged Road,121,119,Car,21,42,86,0,0,0,0,0,Medium
Urban Roads,Wet Road,37,34,Bike,20,54,65,0,1,0,0,0,Medium
Urban Roads,Dry Road,38,59,Bike,21,71,74,0,1,0,1,1,Low
Rural Roads,Wet Road,49,61,Bike,18,81,61,0,0,0,0,0,Low
Service Roads,Dry Road,49,33,Bike,38,46,100,0,0,0,0,0,Medium
Urban Roads,Wet Road,53,34,Bike,18,60,93,0,1,0,0,1,Low
National Highway,Dry Road,75,85,Car,30,49,100,1,0,0,0,0,High
Urban Roads,Damaged Road,67,45,Bus,22,49,74,0,0,0,0,0,High
State Highway,Dry Road,66,67,Bike,32,53,42,0,0,0,0,0,High
Urban Roads,Dry Road,48,60,Bike,43,41,65,1,0,0,0,0,Low
Urban Roads,Dry Road,27,42,Bike,33,51,66,0,0,1,0,1,Medium
Urban Roads,Wet Road,51,45,Car,29,58,100,0,0,1,0,1,Low
State Highway,Damaged Road,49,60,Car,31,38,71,1,1,0,0,0,Low
Service Roads,Wet Road,56,42,Car,38,50,100,0,0,0,0,0,Medium
Expressway,Dry Road,100,91,Bike,12,63,50,1,0,0,0,0,Medium
Expressway,Dry Road,86,93,Car,23,78,100,0,0,0,0,0,Low
Rural Roads,Dry Road,50,55,Bike,30,82,82,0,1,1,1,1,Low
National Highway,Wet Road,64,70,Car,29,51,50,0,0,0,1,1,Medium
Expressway,Dry Road,74,106,Bike,44,21,100,0,1,0,0,1,Low
National Highway,Dry Road,86,72,Bike,30,71,82,1,0,1,0,0,Medium
Service Roads,Wet Road,31,37,Bike,35,46,64,0,0,0,0,0,Low
National Highway,Dry Road,70,87,Bike,36,69,67,1,0,1,0,0,Low
Expressway,Dry Road,78,90,Bike,18,58,67,1,0,0,1,0,Medium
Urban Roads,Dry Road,48,52,Bike,39,57,46,1,1,0,0,0,Medium
Service Roads,Dry Road,37,32,Car,27,76,94,0,0,0,0,1,Medium
National Highway,Wet Road,72,97,Bike,37,77,100,0,1,0,0,0,Low
Rural Roads,Damaged Road,46,49,Car,20,60,39,1,0,0,1,1,High
Urban Roads,Wet Road,43,52,Bike,25,46,91,0,0,0,0,1,Low
National Highway,Dry Road,118,98,Car,30,70,100,1,0,1,0,0,Medium
National Highway,Wet Road,52,70,Car,34,100,63,0,0,0,0,0,High
State Highway,Wet Road,67,86,Car,33,55,77,0,0,1,0,0,Low
Service Roads,Dry Road,25,28,Bike,35,83,100,0,1,0,0,0,Medium
Rural Roads,Dry Road,46,54,Car,25,41,100,0,0,1,0,0,Low
National Highway,Wet Road,70,72,Bike,35,56,63,0,0,0,0,0,Medium
State Highway,Wet Road,83,83,Bike,39,54,100,1,0,0,0,0,Medium
Service Roads,Dry Road,45,23,Car,31,36,40,0,0,1,0,0,High
Urban Roads,Wet Road,24,60,Car,23,57,88,1,0,1,0,0,Low
Expressway,Dry Road,97,117,Car,45,26,69,0,0,0,1,0,Low
Expressway,Dry Road,99,108,Bike,25,69,63,0,1,0,0,0,Low
State Highway,Dry Road,68,81,Bus,28,88,54,0,1,0,0,0,Medium
Rural Roads,Dry Road,56,54,Car,31,20,36,1,1,0,0,1,High
Expressway,Dry Road,79,95,Car,36,87,55,0,0,1,0,0,Low
National Highway,Wet Road,81,84,Car,31,97,75,1,1,0,0,0,Medium
Service Roads,Wet Road,23,29,Truck,28,91,73,0,0,0,0,1,High
State Highway,Damaged Road,85,88,Bike,25,71,78,0,0,0,0,0,Medium
Urban Roads,Dry Road,79,53,Car,25,57,63,1,1,1,0,0,Medium
Expressway,Dry Road,106,119,Car,20,45,78,0,1,0,1,0,Medium
National Highway,Dry Road,79,83,Bike,31,45,62,0,1,0,0,0,Medium
Expressway,Damaged Road,102,101,Car,26,57,100,0,0,0,0,0,Medium
Expressway,Wet Road,90,116,Car,18,59,62,1,0,0,0,0,Medium
Expressway,Dry Road,93,98,Car,22,69,77,0,0,1,0,1,Low
Urban Roads,Damaged Road,20,51,Car,22,58,54,0,0,1,0,0,High
State Highway,Wet Road,55,60,Car,21,52,90,1,0,0,0,0,Medium
Expressway,Damaged Road,73,111,Car,30,54,69,0,0,0,0,0,Medium
State Highway,Wet Road,77,85,Bike,19,90,75,0,1,0,0,0,Medium
Expressway,Dry Road,49,98,Bike,23,40,94,1,0,0,1,0,Low
Rural Roads,Dry Road,64,69,Bike,38,85,71,0,0,0,0,0,Low
Urban Roads,Wet Road,21,36,Bike,27,42,63,0,1,1,0,1,Medium
State Highway,Damaged Road,79,65,Bike,36,59,78,0,1,0,0,0,Medium
National Highway,Wet Road,47,81,Bike,37,41,85,1,1,0,0,0,Low
State Highway,Dry Road,70,71,Car,36,100,90,0,0,0,0,0,Low
Urban Roads,Damaged Road,20,36,Car,18,56,70,1,0,1,0,0,Medium
Urban Roads,Damaged Road,34,38,Car,44,69,97,0,1,0,0,0,High
National Highway,Dry Road,73,76,Car,18,54,83,0,1,0,0,0,Low
Urban Roads,Dry Road,21,37,Bike,27,20,60,0,1,0,0,0,Low
Service Roads,Wet Road,26,22,Car,38,84,63,1,0,0,0,1,Medium
Rural Roads,Dry Road,28,47,Car,26,47,94,1,0,0,0,0,Medium
National Highway,Wet Road,64,70,Bus,34,55,61,0,0,0,0,0,Medium
Expressway,Dry Road,106,98,Bike,31,61,58,1,1,0,0,1,High
Expressway,Dry Road,58,98,Car,23,33,73,0,0,0,0,0,Low
Urban Roads,Dry Road,50,58,Bus,23,76,100,1,1,0,0,0,Medium
Expressway,Dry Road,92,101,Bike,42,75,95,0,1,0,1,0,High
State Highway,Dry Road,44,62,Bus,22,57,76,1,0,0,0,0,Low
Rural Roads,Dry Road,46,45,Truck,25,83,84,1,0,0,0,0,High
Service Roads,Dry Road,46,32,Car,22,100,100,1,0,0,0,0,Low
Expressway,Damaged Road,108,109,Bike,19,48,80,1,0,0,0,0,High
Service Roads,Wet Road,26,39,Truck,35,28,46,1,0,0,0,0,High
Urban Roads,Dry Road,41,50,Car,33,65,72,1,0,0,0,0,Low
Urban Roads,Dry Road,20,37,Car,13,78,89,0,0,1,0,1,Low
State Highway,Wet Road,30,62,Bike,20,67,93,0,1,0,0,0,Medium
Urban Roads,Damaged Road,48,31,Bike,37,77,100,0,1,1,0,0,High
Rural Roads,Dry Road,64,56,Bike,36,69,59,0,1,0,0,1,Medium
Urban Roads,Damaged Road,42,47,Truck,42,100,71,0,1,0,0,0,Medium
Urban Roads,Damaged Road,55,50,Bike,37,61,85,0,1,0,0,1,Medium
Urban Roads,Dry Road,20,33,Car,41,86,77,1,1,0,0,0,Low
Rural Roads,Wet Road,20,43,Bike,34,90,71,1,0,0,0,0,High
Expressway,Dry Road,127,120,Car,30,50,81,0,0,0,0,0,Low
Expressway,Wet Road,93,92,Bike,28,63,75,0,0,0,0,0,Medium
State Highway,Dry Road,87,73,Car,33,80,54,1,0,0,0,0,Medium
Expressway,Dry Road,100,95,Truck,39,67,84,0,1,0,0,0,Medium
Rural Roads,Damaged Road,34,57,Car,33,49,47,0,0,0,0,1,Medium
State Highway,Wet Road,58,71,Car,35,48,67,1,1,1,0,1,Medium
Urban Roads,Wet Road,35,46,Bus,25,84,87,1,0,0,0,1,Low
Expressway,Wet Road,75,98,Bike,39,50,71,0,0,1,0,1,Low
Urban Roads,Dry Road,44,47,Car,30,53,69,0,0,0,1,1,Medium
State Highway,Dry Road,75,86,Bike,14,55,74,1,0,0,0,0,Low
Rural Roads,Dry Road,27,46,Truck,26,77,92,1,0,1,0,1,Low
Urban Roads,Wet Road,20,30,Car,38,76,57,1,1,0,0,0,Medium
Rural Roads,Dry Road,64,46,Bus,43,74,94,0,0,0,0,0,Medium
Expressway,Dry Road,86,93,Car,28,77,81,0,1,1,0,1,Low
Service Roads,Dry Road,28,38,Bike,19,68,40,0,1,0,0,0,Low
National Highway,Dry Road,65,70,Bus,22,63,47,0,0,0,0,1,High
Service Roads,Dry Road,20,39,Car,23,75,78,1,0,1,0,0,Low
State Highway,Dry Road,52,60,Car,15,54,70,1,1,0,0,0,High
National Highway,Dry Road,68,74,Bike,36,63,71,0,0,1,0,0,Low
Service Roads,Dry Road,20,28,Bike,34,73,100,0,1,0,0,0,Low
State Highway,Dry Road,66,80,Bike,23,63,98,0,0,0,1,1,Low
State Highway,Dry Road,79,84,Bike,29,54,95,1,0,0,1,0,Low
State Highway,Dry Road,88,89,Car,30,73,61,0,0,0,0,1,Low
State Highway,Dry Road,54,68,Bike,25,51,72,1,0,1,0,0,Low
State Highway,Wet Road,59,65,Car,37,78,45,0,0,1,0,0,Low
Service Roads,Dry Road,20,21,Bike,25,62,66,1,0,0,0,0,Low
Urban Roads,Wet Road,30,45,Car,26,73,68,1,1,0,0,0,Medium
National Highway,Wet Road,76,97,Car,36,32,88,0,1,0,0,0,Medium
Rural Roads,Dry Road,55,58,Bike,27,78,66,0,0,0,0,0,Low
Expressway,Wet Road,87,100,Car,28,49,65,0,0,0,0,0,Medium
Expressway,Dry Road,99,120,Car,38,38,71,1,1,0,0,0,Low
Urban Roads,Damaged Road,20,32,Bike,43,80,91,1,0,0,0,0,Medium
Rural Roads,Damaged Road,39,49,Bike,32,49,75,1,1,0,0,0,Medium
National Highway,Wet Road,76,78,Car,32,70,77,0,0,1,0,0,Medium
National Highway,Dry Road,56,72,Bus,41,42,70,0,0,0,1,0,Low
Urban Roads,Dry Road,55,49,Bike,37,42,100,1,0,1,1,0,Medium
National Highway,Wet Road,91,92,Bike,40,80,70,0,0,0,0,0,Low
Urban Roads,Dry Road,40,51,Bike,40,86,100,1,0,1,0,0,Low
State Highway,Dry Road,57,67,Bike,45,65,100,0,1,1,0,0,High
Expressway,Wet Road,91,110,Car,37,42,80,0,1,0,0,0,Medium
Rural Roads,Dry Road,38,58,Car,39,81,53,0,0,0,0,1,Medium
Urban Roads,Wet Road,20,44,Car,45,82,46,0,1,0,0,0,Medium
Urban Roads,Dry Road,39,41,Truck,36,55,77,0,0,0,0,0,Low
Expressway,Dry Road,75,106,Bus,41,88,100,1,0,1,0,0,Low
National Highway,Dry Road,81,73,Car,24,86,71,0,0,0,0,0,Low
Rural Roads,Dry Road,51,63,Bike,31,77,59,1,1,0,0,1,Low
Service Roads,Dry Road,30,43,Car,28,65,100,1,0,1,0,0,Medium
State Highway,Damaged Road,72,85,Car,41,68,72,0,1,0,0,0,Medium
State Highway,Dry Road,20,60,Bike,30,57,54,0,0,0,0,0,Low
State Highway,Wet Road,81,69,Bike,25,100,96,0,1,0,0,0,Medium
Expressway,Damaged Road,118,103,Truck,38,44,94,0,0,0,0,0,Low
Service Roads,Dry Road,22,21,Car,28,65,96,1,0,0,1,0,Medium
State Highway,Dry Road,83,89,Car,20,54,70,0,1,0,0,0,Low
National Highway,Dry Road,54,81,Car,43,28,66,0,0,0,1,1,Low
Expressway,Dry Road,99,107,Car,33,87,42,0,1,0,0,0,Medium
Rural Roads,Wet Road,65,66,Bus,34,46,100,0,0,0,0,1,Medium
Expressway,Dry Road,107,109,Car,23,42,70,1,1,0,0,0,Medium
State Highway,Wet Road,65,73,Bike,33,45,87,0,0,0,0,0,Low
Rural Roads,Dry Road,58,67,Bike,35,45,64,0,0,0,0,1,Medium
Service Roads,Dry Road,27,20,Car,32,65,66,0,1,0,0,0,High
Rural Roads,Dry Road,42,41,Car,31,53,68,0,0,0,0,0,High
State Highway,Dry Road,47,79,Truck,29,71,84,0,1,0,0,0,Medium
National Highway,Wet Road,86,71,Truck,22,84,62,0,0,1,0,0,Medium
Expressway,Wet Road,71,92,Bike,30,81,56,1,0,0,0,1,High
Urban Roads,Dry Road,20,37,Car,32,38,60,1,0,0,1,1,Medium
Service Roads,Dry Road,44,43,Car,25,45,70,1,0,0,0,0,Medium
State Highway,Dry Road,36,71,Bike,24,65,46,1,1,1,0,0,High
Service Roads,Damaged Road,20,32,Bus,29,62,60,0,1,0,0,0,Medium
Rural Roads,Dry Road,46,69,Bike,45,83,82,1,0,0,0,1,Low
Rural Roads,Dry Road,49,51,Bike,20,70,100,0,0,0,0,1,Low
Urban Roads,Dry Road,48,39,Car,24,20,82,0,0,1,0,0,Low
Service Roads,Dry Road,38,31,Bike,16,60,83,1,0,0,0,0,Medium
Service Roads,Dry Road,43,33,Bus,24,91,90,1,1,1,0,0,Low
National Highway,Dry Road,79,72,Truck,31,69,73,1,0,0,0,0,Medium
Expressway,Dry Road,86,94,Bike,33,83,83,0,0,0,1,0,Low
Service Roads,Damaged Road,48,35,Car,32,50,63,0,1,0,0,1,High
Rural Roads,Dry Road,71,63,Car,33,41,55,0,0,0,0,0,Medium
Urban Roads,Damaged Road,38,31,Bike,12,49,90,0,1,1,0,1,High
Rural Roads,Damaged Road,42,58,Truck,20,51,83,0,0,0,0,0,Medium
State Highway,Dry Road,74,75,Bike,32,39,76,0,0,0,0,0,Medium
Expressway,Dry Road,99,93,Bike,23,62,63,0,1,1,0,1,Medium
Urban Roads,Dry Road,41,46,Truck,29,67,100,0,0,0,0,1,Low
Urban Roads,Dry Road,46,43,Car,39,61,93,0,0,0,0,1,Low
National Highway,Wet Road,83,81,Bike,31,58,68,0,0,1,0,0,Medium
Rural Roads,Dry Road,39,40,Bus,36,80,55,1,0,0,0,0,Low
Expressway,Dry Road,76,105,Car,28,51,74,1,0,0,0,0,Low
Rural Roads,Dry Road,60,63,Car,23,64,73,1,1,0,0,1,Medium
Service Roads,Wet Road,37,36,Car,37,62,48,0,0,0,0,0,Medium
National Highway,Dry Road,64,70,Bike,28,57,100,0,0,0,0,0,Medium
Service Roads,Wet Road,22,22,Bike,30,64,78,1,1,0,0,0,Medium
National Highway,Damaged Road,72,72,Truck,36,32,66,0,1,1,0,0,Medium
Rural Roads,Wet Road,89,70,Car,15,34,65,0,0,0,0,0,Medium
Urban Roads,Dry Road,40,49,Bike,25,78,75,0,0,0,0,0,Low
Expressway,Wet Road,104,120,Bike,33,82,100,0,1,0,0,0,Medium
National Highway,Dry Road,29,71,Car,45,57,32,1,0,0,0,1,Medium
Expressway,Wet Road,84,96,Car,33,81,53,0,1,0,0,0,High
Service Roads,Dry Road,44,34,Car,35,64,80,0,1,0,0,0,Low
State Highway,Dry Road,76,70,Bus,23,33,68,1,0,0,0,0,High
Service Roads,Dry Road,41,45,Bike,12,82,90,0,0,0,0,0,Low
Service Roads,Damaged Road,20,29,Bike,36,88,100,1,1,0,0,1,High
Rural Roads,Dry Road,44,56,Bike,34,46,43,0,1,0,1,0,Low
National Highway,Damaged Road,66,80,Truck,26,42,84,0,1,0,0,0,Medium
Urban Roads,Dry Road,42,43,Bike,35,84,65,1,1,0,0,0,Medium
State Highway,Dry Road,52,64,Truck,22,63,81,0,1,1,0,1,Low
Expressway,Wet Road,88,111,Car,33,80,22,1,1,1,0,0,High
National Highway,Dry Road,116,88,Car,12,54,90,0,0,0,0,0,Medium
State Highway,Wet Road,55,85,Bike,27,46,73,0,0,0,0,0,Low
National Highway,Damaged Road,69,80,Car,30,65,91,0,0,0,0,0,High
Expressway,Wet Road,98,92,Car,23,88,73,1,1,0,0,0,Medium
Urban Roads,Dry Road,82,50,Bike,25,86,49,1,1,1,0,0,High
Rural Roads,Wet Road,46,64,Bike,32,46,83,0,0,0,1,1,Low
Service Roads,Dry Road,20,27,Car,26,38,85,1,0,0,0,1,Low
Service Roads,Dry Road,32,24,Car,34,57,46,0,0,0,0,1,Medium
National Highway,Damaged Road,98,100,Car,32,53,66,0,1,0,0,1,Medium
Rural Roads,Wet Road,46,45,Bike,17,51,91,0,0,0,0,1,Medium
Service Roads,Dry Road,33,31,Bike,34,59,52,0,1,0,0,1,Medium
Expressway,Dry Road,104,110,Bike,25,71,60,1,1,1,0,1,High
Urban Roads,Wet Road,82,43,Bus,45,61,80,0,0,0,1,0,Medium
State Highway,Dry Road,73,62,Car,27,54,82,0,0,0,0,0,Medium
Rural Roads,Damaged Road,39,60,Truck,29,100,90,1,1,0,0,0,Medium
National Highway,Wet Road,104,86,Bike,32,68,79,0,1,0,0,0,Medium
National Highway,Dry Road,67,100,Truck,28,70,91,0,0,0,0,0,Medium
Urban Roads,Dry Road,57,58,Bike,44,51,79,0,0,0,0,1,Low
State Highway,Dry Road,67,84,Bike,32,35,59,0,0,0,0,1,Medium
Rural Roads,Wet Road,72,69,Car,33,93,63,0,0,0,0,1,Medium
Expressway,Dry Road,105,120,Car,33,32,74,0,1,0,0,0,Low
National Highway,Wet Road,63,77,Car,43,66,81,1,0,1,0,1,Low
Rural Roads,Wet Road,32,43,Bike,41,74,71,0,1,0,1,1,Low
Rural Roads,Dry Road,55,70,Bike,37,94,86,0,1,1,0,1,Low
National Highway,Damaged Road,63,90,Car,29,36,96,1,0,0,0,0,Medium
Expressway,Dry Road,98,110,Truck,42,98,70,0,0,0,1,0,Medium
Service Roads,Dry Road,42,25,Bike,32,65,67,1,0,1,0,0,Medium
Urban Roads,Wet Road,51,51,Car,25,64,100,0,0,0,0,1,Low
National Highway,Dry Road,62,83,Car,32,64,74,1,0,0,0,0,Low
Service Roads,Dry Road,48,48,Bike,30,47,78,0,0,0,0,0,Medium
Expressway,Damaged Road,105,116,Car,33,47,56,1,1,0,0,0,High
Urban Roads,Dry Road,49,52,Car,28,57,95,0,0,0,0,1,Low
Expressway,Dry Road,69,95,Car,29,98,75,0,0,0,0,1,Low
Service Roads,Wet Road,32,36,Car,26,29,91,0,0,0,0,0,Low
Expressway,Dry Road,75,99,Bike,29,70,61,0,0,0,0,0,Low
Expressway,Dry Road,109,103,Car,25,78,95,0,0,0,0,1,Medium
Urban Roads,Dry Road,65,56,Car,25,20,76,0,0,1,0,0,Low
National Highway,Wet Road,74,99,Bus,37,72,67,1,1,0,0,0,High
State Highway,Dry Road,47,65,Car,33,34,53,1,0,0,1,0,Low
Urban Roads,Dry Road,57,49,Car,18,99,86,0,1,0,0,1,Medium
Rural Roads,Dry Road,55,68,Truck,36,50,69,1,1,0,0,1,Medium
Urban Roads,Dry Road,55,52,Bus,23,98,85,0,1,1,0,1,Medium
State Highway,Dry Road,64,71,Car,14,36,83,0,1,0,0,0,Low
State Highway,Wet Road,55,64,Truck,43,39,99,0,0,0,0,0,High
Service Roads,Wet Road,20,36,Car,30,45,100,0,0,0,0,0,Low
Expressway,Wet Road,101,93,Bike,32,40,79,0,0,1,1,0,Medium
National Highway,Dry Road,74,84,Bike,28,86,60,0,0,0,0,0,Low
Expressway,Wet Road,84,103,Bike,27,64,49,0,0,0,0,0,Medium
Rural Roads,Dry Road,50,48,Car,14,70,64,0,1,0,0,1,Medium
Expressway,Dry Road,112,106,Car,31,66,68,1,0,0,1,0,Medium
Service Roads,Wet Road,34,44,Bike,35,54,95,1,1,0,0,0,Low
National Highway,Dry Road,84,81,Car,33,73,79,1,1,1,0,0,Medium
State Highway,Dry Road,74,83,Bus,28,65,66,0,0,0,0,0,Medium
Service Roads,Dry Road,59,45,Bike,27,91,97,0,0,1,0,0,Low
State Highway,Damaged Road,23,74,Car,26,100,66,1,1,1,0,0,Medium
Service Roads,Wet Road,54,40,Car,30,63,90,0,0,0,0,1,Medium
Urban Roads,Damaged Road,32,35,Bike,19,57,92,1,0,1,0,0,Low
Service Roads,Dry Road,27,37,Bike,18,87,62,1,0,1,1,1,High
Service Roads,Dry Road,20,45,Car,23,100,92,0,0,0,0,0,Low
National Highway,Wet Road,88,94,Truck,21,59,82,0,0,0,0,0,Medium
Service Roads,Dry Road,28,47,Car,29,70,90,0,1,0,0,0,Low
State Highway,Dry Road,58,63,Car,30,20,65,1,0,0,1,0,Medium
State Highway,Dry Road,77,70,Bus,34,49,45,0,0,0,0,0,High
National Highway,Dry Road,89,98,Car,25,40,100,1,0,0,0,0,Medium
National Highway,Dry Road,63,80,Car,18,87,72,0,1,0,0,0,Low
Urban Roads,Dry Road,34,44,Car,20,73,77,0,0,0,0,0,Medium
Rural Roads,Dry Road,62,64,Car,20,69,24,0,0,1,0,0,High
Expressway,Dry Road,96,107,Bike,25,26,52,1,0,0,0,0,Low
Service Roads,Dry Road,20,47,Car,33,61,100,1,0,1,0,1,Medium
National Highway,Dry Road,38,81,Car,28,51,100,0,1,0,0,0,Low
Service Roads,Wet Road,25,26,Bike,38,70,64,0,0,1,0,0,Low
National Highway,Dry Road,89,82,Bus,28,56,69,0,0,0,0,0,High
National Highway,Dry Road,76,76,Bike,31,65,78,0,1,1,0,1,Low
Rural Roads,Wet Road,35,58,Bike,19,68,34,0,0,0,0,0,Medium
Urban Roads,Wet Road,48,37,Bike,38,74,73,0,0,1,0,0,Medium
Expressway,Dry Road,114,93,Truck,45,26,85,0,0,0,0,0,Medium
National Highway,Dry Road,82,79,Bike,21,43,72,0,0,0,0,1,Low
State Highway,Dry Road,54,72,Truck,29,36,85,0,0,0,0,0,Low
Expressway,Wet Road,96,90,Bike,31,76,94,0,0,0,0,0,Medium
Service Roads,Damaged Road,20,25,Car,24,63,88,1,0,1,0,0,High
Expressway,Dry Road,98,110,Car,34,100,74,0,1,0,0,0,Low
Rural Roads,Wet Road,52,68,Car,17,67,95,0,1,0,0,0,Low
State Highway,Dry Road,53,80,Truck,44,35,67,0,1,0,0,0,Medium
Urban Roads,Damaged Road,64,32,Bike,27,60,52,0,0,1,0,1,Medium
National Highway,Damaged Road,59,76,Bike,14,74,100,0,0,0,0,0,Low
Service Roads,Dry Road,66,49,Bus,25,69,53,1,0,0,0,0,Medium
Urban Roads,Wet Road,39,37,Car,35,79,69,0,0,0,0,0,Medium
State Highway,Wet Road,56,73,Car,33,57,75,0,0,0,0,0,Low
National Highway,Damaged Road,53,73,Car,32,45,81,1,0,0,0,0,Medium
State Highway,Dry Road,75,78,Car,26,91,67,1,1,0,0,0,Medium
National Highway,Dry Road,56,75,Car,45,74,76,1,0,0,0,0,Low
Service Roads,Damaged Road,42,38,Bike,32,75,69,0,0,0,0,0,High
Service Roads,Dry Road,20,23,Bike,31,49,74,0,0,1,0,0,Medium
National Highway,Dry Road,88,100,Car,29,43,100,1,1,0,0,0,Medium
Service Roads,Dry Road,45,27,Car,10,100,72,0,0,0,0,0,High
State Highway,Dry Road,77,84,Bike,14,83,23,1,0,0,0,0,High
